path_no,x(m),y(m)
137,3.706780318053577,0.7071549453782443
138,3.726705461474966,0.7047503414671953
139,3.746478412607616,0.7023590198127734
140,3.7662566399119117,0.6999562276170819
141,3.7861014626947846,0.6975423215435067
142,3.806013345492565,0.6951173789776998
143,3.8259496447854673,0.6926853631617549
144,3.8457369168184683,0.6902755241885746
145,3.8655020962458777,0.6878633223220242
146,3.8853327447150106,0.6854477413061616
147,3.905232783756965,0.6830242501591802
148,3.9251765381760735,0.6805898236802472
149,3.9449948823892176,0.67816884511855
150,3.96475151136548,0.6757471715235601
151,3.984568434008616,0.6733192450785003
152,4.004454484740522,0.6708816117587969
153,4.02439695515255,0.6684300113143866
154,4.044243843172348,0.665983050375287
155,4.063998358863075,0.6635379718867311
156,4.083799672730646,0.6610839960127844
157,4.1036673553027,0.6586241254684922
